#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
1 3 2 1 1 0.0 2 2 0 0 0.6666666666666666 0.6666666666666666 0.0 0.0
101 97 560 30 30 0.16559806358104162 0 0 0 0 55.27835051546392 55.27835051546392 -0.14500877155448857 -0.14500877155448857
201 197 1160 42 42 0.09427272240867143 0 0 0 0 63.48223350253807 63.48223350253807 -0.11531335268753724 -0.11531335268753724
301 297 1760 54 54 0.08123122503606768 0 0 0 0 69.48821548821549 69.48821548821549 -0.11010825684515513 -0.11010825684515513
401 397 2360 64 64 0.06982946398244472 0 0 0 0 75.00251889168766 75.00251889168766 -0.11371117395769566 -0.11371117395769566
501 497 2960 72 72 0.05676063800386124 0 0 0 0 78.45875251509054 78.45875251509054 -0.11001839556055629 -0.11001839556055629
601 597 3560 78 78 0.04708033536625269 0 0 0 0 80.5393634840871 80.5393634840871 -0.10312732414731102 -0.10312732414731102
701 697 4160 81 81 0.0399437548389898 0 0 0 0 82.78048780487805 82.78048780487805 -0.09883258507696925 -0.09883258507696925
801 797 4760 85 85 0.03633474883368465 0 0 0 0 83.70138017565873 83.70138017565873 -0.09388282700998488 -0.09388282700998488
901 897 5360 90 90 0.03323766313459228 0 0 0 0 84.53288740245262 84.53288740245262 -0.08780607956497878 -0.08780607956497878
1001 997 5960 94 94 0.028660844841650282 0 0 0 0 85.65697091273822 85.65697091273822 -0.08359289187784574 -0.08359289187784574
1101 1097 6560 98 98 0.025349702941307777 0 0 0 0 86.10756608933455 86.10756608933455 -0.07975752067945424 -0.07975752067945424
1201 1197 7160 101 101 0.023980679551172127 0 0 0 0 87.07268170426065 87.07268170426065 -0.07769261327533647 -0.07769261327533647
1301 1297 7760 103 103 0.022226617360651874 0 0 0 0 86.80493446414803 86.80493446414803 -0.07212474657712235 -0.07212474657712235
1401 1397 8360 107 107 0.02215692103742673 0 0 0 0 87.34574087329993 87.34574087329993 -0.06871822867656399 -0.06871822867656399
1501 1497 8960 108 108 0.020626061757811988 0 0 0 0 88.02004008016031 88.02004008016031 -0.0678623719913139 -0.0678623719913139
1601 1597 9560 114 114 0.019718319571549472 0 0 0 0 88.52974326862868 88.52974326862868 -0.06469941597282952 -0.06469941597282952
1701 1697 10160 119 119 0.018534304086117642 0 0 0 0 88.78609310548026 88.78609310548026 -0.06129925604378575 -0.06129925604378575
1801 1797 10760 123 123 0.01853994669304247 0 0 0 0 90.40511964385087 90.40511964385087 -0.06354166203922941 -0.06354166203922941
1901 1897 11360 124 124 0.018126106633710965 0 0 0 0 90.66526093832367 90.66526093832367 -0.06177822363611244 -0.06177822363611244
2001 1997 11960 126 126 0.017426553045967075 0 0 0 0 91.09364046069103 91.09364046069103 -0.06068634441107912 -0.06068634441107912
2101 2097 12560 131 131 0.016922046178286534 0 0 0 0 92.22222222222223 92.22222222222223 -0.060603730972402035 -0.060603730972402035
2201 2197 13160 135 135 0.01626707602810718 0 0 0 0 92.4551661356395 92.4551661356395 -0.05900795549539592 -0.05900795549539592
2301 2297 13760 140 140 0.01558688197818455 0 0 0 0 92.6634740966478 92.6634740966478 -0.056839898038405036 -0.056839898038405036
2401 2397 14360 145 145 0.015398392265938568 0 0 0 0 93.7822277847309 93.7822277847309 -0.05795580435184497 -0.05795580435184497
2501 2497 14960 149 149 0.014588429220739624 0 0 0 0 94.22426912294753 94.22426912294753 -0.05693837322196158 -0.05693837322196158
2601 2597 15560 150 150 0.014317720435598237 0 0 0 0 94.366576819407 94.366576819407 -0.055418917008354045 -0.055418917008354045
2701 2697 16160 153 153 0.013871293408680117 0 0 0 0 94.73637374860957 94.73637374860957 -0.05353800828689679 -0.05353800828689679
2801 2797 16760 158 158 0.013018314334653629 0 0 0 0 95.53807651054701 95.53807651054701 -0.05354281551416439 -0.05354281551416439
2901 2897 17360 159 159 0.012616427167067186 0 0 0 0 95.39592682084916 95.39592682084916 -0.05159544420177427 -0.05159544420177427
3001 2997 17960 161 161 0.013007823837337982 0 0 0 0 96.04804804804805 96.04804804804805 -0.051940430259842844 -0.051940430259842844
3101 3097 18560 163 163 0.01290439329191718 0 0 0 0 96.30610268001291 96.30610268001291 -0.0514871175750103 -0.0514871175750103
3201 3197 19160 168 168 0.012751576656419803 0 0 0 0 96.82765092274006 96.82765092274006 -0.05134477463696267 -0.05134477463696267
3301 3297 19760 168 168 0.012473816045683424 0 0 0 0 97.09978768577494 97.09978768577494 -0.05100250630568217 -0.05100250630568217
3401 3397 20360 174 174 0.012138019834220477 0 0 0 0 97.77097438916691 97.77097438916691 -0.050520132121058665 -0.050520132121058665
3501 3497 20960 178 178 0.011613856164208075 0 0 0 0 98.46840148698885 98.46840148698885 -0.05040294725838144 -0.05040294725838144
3601 3597 21560 178 178 0.011583475791749105 0 0 0 0 98.45204336947457 98.45204336947457 -0.04973009183488633 -0.04973009183488633
3701 3697 22160 179 179 0.011347961919514912 0 0 0 0 98.4614552339735 98.4614552339735 -0.04866619605134025 -0.04866619605134025
3801 3797 22760 179 179 0.011067016184342658 0 0 0 0 98.60258098498815 98.60258098498815 -0.048260056238701256 -0.048260056238701256
3901 3897 23360 181 181 0.010748571556442148 0 0 0 0 99.0782653323069 99.0782653323069 -0.048206613587033056 -0.048206613587033056
