#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
1 3 2 1 1 0.0 2 2 0 0 0.6666666666666666 0.6666666666666666 0.0 0.0
101 97 560 14 14 0.09508080693647705 0 0 0 0 41.07216494845361 41.07216494845361 0.16405563927708156 0.16405563927708156
201 197 1160 15 15 0.04487325984787913 0 0 0 0 43.60406091370558 43.60406091370558 0.14572593803060546 0.14572593803060546
301 297 1760 18 18 0.033852372072811755 0 0 0 0 44.62626262626262 44.62626262626262 0.17163209423025882 0.17163209423025882
401 397 2360 19 19 0.021690328605973027 0 0 0 0 45.16372795969773 45.16372795969773 0.1734398780587514 0.1734398780587514
501 497 2960 19 19 0.018455996843348803 0 0 0 0 46.08048289738431 46.08048289738431 0.15005306750927758 0.15005306750927758
601 597 3560 20 20 0.017597672650413124 0 0 0 0 46.44556113902848 46.44556113902848 0.1562682105558519 0.1562682105558519
701 697 4160 20 20 0.014035017201284831 0 0 0 0 46.73744619799139 46.73744619799139 0.15895767466704458 0.15895767466704458
801 797 4760 22 22 0.012725526449592305 0 0 0 0 47.10664993726474 47.10664993726474 0.15808792692580492 0.15808792692580492
901 897 5360 23 23 0.010458861529813693 0 0 0 0 47.094760312151614 47.094760312151614 0.16778683297439068 0.16778683297439068
1001 997 5960 23 23 0.009864063919459334 0 0 0 0 47.227683049147444 47.227683049147444 0.1730181545910632 0.1730181545910632
1101 1097 6560 23 23 0.008851926436086559 0 0 0 0 47.135824977210575 47.135824977210575 0.1810825125148567 0.1810825125148567
1201 1197 7160 24 24 0.007814556559644132 0 0 0 0 47.20133667502088 47.20133667502088 0.18388514247723403 0.18388514247723403
1301 1297 7760 24 24 0.007191432307133102 0 0 0 0 47.292212798766386 47.292212798766386 0.18602057022285795 0.18602057022285795
1401 1397 8360 24 24 0.006619407825598557 0 0 0 0 47.24695776664281 47.24695776664281 0.19419703240878794 0.19419703240878794
1501 1497 8960 24 24 0.006178213796020409 0 0 0 0 47.235804943219776 47.235804943219776 0.20100473100318922 0.20100473100318922
1601 1597 9560 24 24 0.005804284431336022 0 0 0 0 47.362554790231684 47.362554790231684 0.2009514092421107 0.2009514092421107
1701 1697 10160 24 24 0.0057207022850193 0 0 0 0 47.26458456098998 47.26458456098998 0.20672579404984182 0.20672579404984182
1801 1797 10760 24 24 0.005406859623976989 0 0 0 0 47.283249860879245 47.283249860879245 0.20759765309400466 0.20759765309400466
1901 1897 11360 24 24 0.004832403426559181 0 0 0 0 47.287295730100155 47.287295730100155 0.20722461318829408 0.20722461318829408
2001 1997 11960 24 24 0.004263977183334002 0 0 0 0 47.20681021532298 47.20681021532298 0.21167646465778106 0.21167646465778106
2101 2097 12560 24 24 0.004235601646167009 0 0 0 0 47.21506914639962 47.21506914639962 0.2123627753118419 0.2123627753118419
2201 2197 13160 24 24 0.004306944366845671 0 0 0 0 47.25443786982248 47.25443786982248 0.21258821215393284 0.21258821215393284
2301 2297 13760 24 24 0.004005131445651956 0 0 0 0 47.25555071832825 47.25555071832825 0.21721402471724063 0.21721402471724063
2401 2397 14360 24 24 0.00363071025560363 0 0 0 0 47.26491447642887 47.26491447642887 0.2171129147554089 0.2171129147554089
2501 2497 14960 24 24 0.003299297532786922 0 0 0 0 47.299959951942334 47.299959951942334 0.218216446485668 0.218216446485668
2601 2597 15560 24 24 0.0033819690323270073 0 0 0 0 47.2722371967655 47.2722371967655 0.22064290930588915 0.22064290930588915
2701 2697 16160 24 24 0.003299469019097216 0 0 0 0 47.23692992213571 47.23692992213571 0.22137513214312862 0.22137513214312862
2801 2797 16760 25 25 0.003312859054242875 0 0 0 0 47.33714694315338 47.33714694315338 0.2182477801039559 0.2182477801039559
2901 2897 17360 25 25 0.0033042635507871546 0 0 0 0 47.36140835346911 47.36140835346911 0.21821330126555694 0.21821330126555694
3001 2997 17960 25 25 0.0031426493332038625 0 0 0 0 47.431431431431434 47.431431431431434 0.21698816232150855 0.21698816232150855
3101 3097 18560 25 25 0.00294854715120259 0 0 0 0 47.41685502098805 47.41685502098805 0.21941759912162095 0.21941759912162095
3201 3197 19160 25 25 0.00294830360138086 0 0 0 0 47.467000312793246 47.467000312793246 0.2185609072276423 0.2185609072276423
3301 3297 19760 26 26 0.0029367499327457506 0 0 0 0 47.502578101304216 47.502578101304216 0.21720402607081132 0.21720402607081132
3401 3397 20360 26 26 0.0030612666901886298 0 0 0 0 47.48954960259052 47.48954960259052 0.2179168016354968 0.2179168016354968
3501 3497 20960 26 26 0.0030223309221874316 0 0 0 0 47.48355733485845 47.48355733485845 0.22002530921040483 0.22002530921040483
3601 3597 21560 26 26 0.002824493579886498 0 0 0 0 47.46566583263831 47.46566583263831 0.22184956912755732 0.22184956912755732
3701 3697 22160 26 26 0.002729605494458179 0 0 0 0 47.497430348931566 47.497430348931566 0.22179155883559007 0.22179155883559007
3801 3797 22760 26 26 0.002580164892574887 0 0 0 0 47.503292072688964 47.503292072688964 0.2221823017575625 0.2221823017575625
3901 3897 23360 26 26 0.002476179123291415 0 0 0 0 47.4821657685399 47.4821657685399 0.22285183297725683 0.22285183297725683
4001 3997 23960 26 26 0.0024827814509510745 0 0 0 0 47.46710032524393 47.46710032524393 0.22294982669932206 0.22294982669932206
