#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
1 3 2 1 1 0.0 2 2 0 0 0.6666666666666666 0.6666666666666666 0.0 0.0
101 97 560 37 37 0.1808592773060871 0 0 0 0 58.5360824742268 58.5360824742268 -0.1669007001272636 -0.1669007001272636
201 197 1160 49 49 0.11738557242215152 0 0 0 0 65.20812182741116 65.20812182741116 -0.0998090178614509 -0.0998090178614509
301 297 1760 59 59 0.08089928168139143 0 0 0 0 70.35016835016835 70.35016835016835 -0.09542070136107318 -0.09542070136107318
401 397 2360 71 71 0.06800068237582481 0 0 0 0 72.66498740554157 72.66498740554157 -0.07569231717563714 -0.07569231717563714
501 497 2960 74 74 0.057845260914406595 0 0 0 0 74.19718309859155 74.19718309859155 -0.06955161268736133 -0.06955161268736133
601 597 3560 83 83 0.05101560620419067 0 0 0 0 77.4070351758794 77.4070351758794 -0.07254055172281625 -0.07254055172281625
701 697 4160 88 88 0.04285310037276504 0 0 0 0 78.67144906743185 78.67144906743185 -0.06809425723672606 -0.06809425723672606
801 797 4760 98 98 0.037390095785665454 0 0 0 0 81.28732747804266 81.28732747804266 -0.06982608011656466 -0.06982608011656466
901 897 5360 103 103 0.03225664721927146 0 0 0 0 81.72129319955407 81.72129319955407 -0.06480335305956532 -0.06480335305956532
1001 997 5960 105 105 0.028947937047386015 0 0 0 0 82.53560682046138 82.53560682046138 -0.0648694274793888 -0.0648694274793888
1101 1097 6560 111 111 0.02742120553258545 0 0 0 0 83.62260711030082 83.62260711030082 -0.06478036135538784 -0.06478036135538784
1201 1197 7160 114 114 0.025512550091692756 0 0 0 0 84.07685881370092 84.07685881370092 -0.061237407335225716 -0.061237407335225716
1301 1297 7760 118 118 0.023111778483663005 0 0 0 0 84.9390902081727 84.9390902081727 -0.05929531767060338 -0.05929531767060338
1401 1397 8360 121 121 0.02156518353594983 0 0 0 0 85.17108088761633 85.17108088761633 -0.0560299413897046 -0.0560299413897046
1501 1497 8960 122 122 0.02037486007743549 0 0 0 0 85.60988643954576 85.60988643954576 -0.056394766985387465 -0.056394766985387465
1601 1597 9560 124 124 0.018522734455705573 0 0 0 0 85.91984971822167 85.91984971822167 -0.05465788142416284 -0.05465788142416284
1701 1697 10160 127 127 0.01657868006700924 0 0 0 0 86.52681202121391 86.52681202121391 -0.05477530854562524 -0.05477530854562524
1801 1797 10760 129 129 0.015499939881428332 0 0 0 0 87.08291597106289 87.08291597106289 -0.05409010951666209 -0.05409010951666209
1901 1897 11360 135 135 0.014642720586025877 0 0 0 0 88.06325777543489 88.06325777543489 -0.054493224376052064 -0.054493224376052064
2001 1997 11960 141 141 0.014249441671751363 0 0 0 0 88.85027541311968 88.85027541311968 -0.0546272529548009 -0.0546272529548009
2101 2097 12560 145 145 0.0141365349823413 0 0 0 0 89.11301859799714 89.11301859799714 -0.05325575774867608 -0.05325575774867608
2201 2197 13160 153 153 0.014297856534635417 0 0 0 0 89.8352298588985 89.8352298588985 -0.051686939668400274 -0.051686939668400274
2301 2297 13760 159 159 0.013979670890810638 0 0 0 0 90.70352633870266 90.70352633870266 -0.05150719354927716 -0.05150719354927716
2401 2397 14360 163 163 0.013774364928129348 0 0 0 0 91.81560283687944 91.81560283687944 -0.05266106620303136 -0.05266106620303136
2501 2497 14960 165 165 0.013455531258431748 0 0 0 0 91.87104525430517 91.87104525430517 -0.050964725526898895 -0.050964725526898895
2601 2597 15560 168 168 0.013346653714425213 0 0 0 0 92.3989218328841 92.3989218328841 -0.05020875162916049 -0.05020875162916049
