#time Nodes links maxInDeg maxOutDeg CC SingIn SingOut DoubIn DoubOut InDegSq OutDegSq InAssort OutAssort
1 3 2 1 1 0.0 2 2 0 0 0.6666666666666666 0.6666666666666666 0.0 0.0
11 7 20 5 5 0.5952380952380952 1 1 0 0 10.857142857142858 10.857142857142858 -0.5625000000000033 -0.5625000000000033
21 17 80 9 9 0.38954248366013067 0 0 0 0 26.0 26.0 -0.017164653528285206 -0.017164653528285206
31 27 140 11 11 0.22220618887285554 0 0 0 0 31.25925925925926 31.25925925925926 0.07219402143260506 0.07219402143260506
41 37 200 13 13 0.17920667920667918 0 0 0 0 34.91891891891892 34.91891891891892 0.04061497488046449 0.04061497488046449
51 47 260 14 14 0.14564832330789776 0 0 0 0 37.787234042553195 37.787234042553195 0.04832016216292319 0.04832016216292319
61 57 320 15 15 0.11183387762335133 0 0 0 0 39.473684210526315 39.473684210526315 0.06149595045259063 0.06149595045259063
71 67 380 15 15 0.10179944433675778 0 0 0 0 40.02985074626866 40.02985074626866 0.09179064206059903 0.09179064206059903
81 77 440 15 15 0.0839239404174469 0 0 0 0 41.064935064935064 41.064935064935064 0.07284841981362805 0.07284841981362805
91 87 500 16 16 0.08025697163628198 0 0 0 0 41.67816091954023 41.67816091954023 0.08014488051897216 0.08014488051897216
101 97 560 17 17 0.07066774274172696 0 0 0 0 42.55670103092783 42.55670103092783 0.05157134992043463 0.05157134992043463
111 107 620 18 18 0.06314644368520123 0 0 0 0 43.58878504672897 43.58878504672897 0.027057518818124075 0.027057518818124075
121 117 680 18 18 0.05877829226245513 0 0 0 0 43.36752136752137 43.36752136752137 0.06748521425937756 0.06748521425937756
131 127 740 18 18 0.0508721811871418 0 0 0 0 43.54330708661417 43.54330708661417 0.07437215165324605 0.07437215165324605
141 137 800 18 18 0.04675758142911426 0 0 0 0 43.67883211678832 43.67883211678832 0.10006154016359804 0.10006154016359804
151 147 860 19 19 0.04610814712223695 0 0 0 0 44.70748299319728 44.70748299319728 0.0595547301055475 0.0595547301055475
161 157 920 19 19 0.044909357960766914 0 0 0 0 44.82802547770701 44.82802547770701 0.07393982099418767 0.07393982099418767
171 167 980 19 19 0.04056158726261245 0 0 0 0 44.56287425149701 44.56287425149701 0.10144017072857738 0.10144017072857738
181 177 1040 19 19 0.03598302496082839 0 0 0 0 44.4180790960452 44.4180790960452 0.11796110646073607 0.11796110646073607
191 187 1100 19 19 0.035261132047609084 0 0 0 0 44.588235294117645 44.588235294117645 0.11401245374377843 0.11401245374377843
201 197 1160 19 19 0.031191019764985284 0 0 0 0 44.934010152284266 44.934010152284266 0.11097276860155714 0.11097276860155714
211 207 1220 19 19 0.028828862882346977 0 0 0 0 45.04347826086956 45.04347826086956 0.11414735762035168 0.11414735762035168
221 217 1280 19 19 0.026737262474375655 0 0 0 0 45.142857142857146 45.142857142857146 0.12009162912285028 0.12009162912285028
231 227 1340 19 19 0.023458304537395107 0 0 0 0 45.23348017621145 45.23348017621145 0.11723261123058183 0.11723261123058183
241 237 1400 19 19 0.0215769684457226 0 0 0 0 45.426160337552744 45.426160337552744 0.11684196490899722 0.11684196490899722
